project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
bitbake,https://github.com/openembedded/bitbake,The official bitbake Git is at https://git.openembedded.org/bitbake/. Do not open issues or file pull requests here.bitbake,373,83082,5222,1083,225,84,224,50876,227.125
boto,https://github.com/boto/boto,"For the latest version of boto, see https://github.com/boto/boto3 -- Python interface to Amazon Web Servicesboto",674,82429,5052,384,647,95,665,80160,120.5413534
calibre,https://github.com/kovidgoyal/calibre,The official source code repository for the calibre ebook managercalibre,2089,539568,24119,3967,231,21,1297,335425,258.616037
cassandra-dtest,https://github.com/apache/cassandra-dtest,Mirror of Distributed test suite for Apache Cassandracassandra-dtest,182,58804,2902,194,87,38,139,58219,418.8417266
celery,https://github.com/celery/celery,Distributed Task Queue (development branch)celery,348,53521,6797,1239,749,312,322,49038,152.2919255
cerbero,https://github.com/pitivi/cerbero,Cerbero build system used to build the official upstream GStreamer 1.0 SDK binariescerbero,129,15818,2672,6,51,4,104,11647,111.9903846
certbot,https://github.com/certbot/certbot,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.certbot,417,48951,3117,1064,308,173,316,39457,124.8639241
ChatterBot,https://github.com/gunthercox/ChatterBot,"ChatterBot is a machine learning, conversational dialog engine for creating chat botsChatterBot",136,15116,1034,29,55,8,122,8629,70.7295082
cheetah,https://github.com/cheetahtemplate/cheetah,a very fast brute force webshell password toolcheetah,71,9692,547,6,13,2,64,8693,135.828125
cherrypy,https://github.com/cherrypy/cherrypy,"CherryPy is a pythonic, object-oriented HTTP framework.      https://cherrypy.devcherrypy",125,31838,2597,589,111,39,109,16546,151.7981651
cobbler,https://github.com/cobbler/cobbler,Cobbler is a versatile Linux deployment servercobbler,153,20870,3376,149,204,29,120,16540,137.8333333
codespeed,https://github.com/tobami/codespeed,A web application to monitor and analyze the performance of your codecodespeed,84,6597,388,24,30,9,42,3547,84.45238095
d2l-en,https://github.com/d2l-ai/d2l-en,d2l-en,13,6534,3444,826,181,168,6,5851,975.1666667
dagster,https://github.com/dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets.dagster",2586,311231,5772,1019,124,106,1982,272135,137.3032291
DAIN,https://github.com/baowenbo/DAIN,Depth-Aware Video Frame Interpolation (CVPR 2019)DAIN,103,9157,144,1,9,1,80,5483,68.5375
DALL-E,https://github.com/openai/DALL-E,PyTorch package for the discrete VAE used for DALL·E.DALL-E,5,232,3,0,1,0,5,232,46.4
DALLE-pytorch,https://github.com/lucidrains/DALLE-pytorch,"Implementation / replication of DALL-E, OpenAI's Text to Image Transformer, in PytorchDALLE-pytorch",21,2575,403,18,25,8,18,2546,141.4444444
darkflow,https://github.com/Hydragon516/darkflow,"Translate darknet to tensorflow. Load trained weights, retrain/fine-tune using tensorflow, export constant graph def to mobile devicesdarkflow",41,2882,245,1,27,1,35,2607,74.48571429
darts,https://github.com/quark0/darts,Differentiable architecture search for convolutional and recurrent networksdarts,22,2427,65,0,2,0,22,2427,110.3181818
dash,https://github.com/plotly/dash,"Analytical Web Apps for Python, R, Julia, and Jupyter. No JavaScript Required.dash",631,225569,1959,125,83,27,216,26193,121.2638889
dask,https://github.com/dask/dask,Parallel computing with task schedulingdask,269,85444,4844,2781,444,415,229,83791,365.8995633
data-science-blogs,https://github.com/rushter/data-science-blogs,A curated list of data science blogsdata-science-blogs,2,37,304,51,90,47,2,37,18.5
data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,data-science-ipython-notebooks,43,4190,397,17,11,4,38,3818,100.4736842
data-scientist-roadmap,https://github.com/MrMimic/data-scientist-roadmap,data-scientist-roadmap,7,97,89,0,7,0,7,97,13.85714286
dataset,https://github.com/pudo/dataset,"Easy-to-use data handling for SQL data stores with support for implicit table creation, bulk loading, and transactions.dataset",10,1355,293,40,46,7,10,1355,135.5
datasets,https://github.com/huggingface/datasets,"🤗 The largest hub of ready-to-use datasets for ML models with fast, easy-to-use and efficient data manipulation toolsdatasets",1653,128345,1856,1541,311,306,899,116681,129.7897664
datasette,https://github.com/simonw/datasette,An open source multi-tool for exploring and publishing datadatasette,132,19893,1616,1025,58,55,74,17163,231.9324324
dcgan_code,https://github.com/Newmu/dcgan_code,Deep Convolutional Generative Adversarial Networksdcgan_code,19,1332,15,0,2,0,19,1332,70.10526316
ddia,https://github.com/Vonng/ddia,《Designing Data-Intensive Application》DDIA中文翻译ddia,5,134,238,9,67,3,2,49,24.5
deap,https://github.com/DEAP/deap,Distributed Evolutionary Algorithms in Pythondeap,155,20195,991,12,70,4,127,8613,67.81889764
DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools,DeDRM tools for ebooksDeDRM_tools,74,24742,177,2,45,2,62,24346,392.6774194
deep_sort,https://github.com/nwojke/deep_sort,Simple Online Realtime Tracking with a Deep Association Metricdeep_sort,18,1224,30,6,5,5,18,1224,68
DeepCTR,https://github.com/shenweichen/DeepCTR,"Easy-to-use,Modular and Extendible package of deep-learning based CTR models .DeepCTR",121,7266,104,22,15,9,115,7096,61.70434783
deep-daze,https://github.com/lucidrains/deep-daze,Simple command line tool for text to image generation using OpenAI's CLIP and Siren (Implicit neural representation network). Technique was originally created by https://twitter.com/advadnoundeep-daze,7,1178,173,3,16,1,6,1154,192.3333333
DeepFaceLab,https://github.com/iperov/DeepFaceLab,DeepFaceLab is the leading software for creating deepfakes.DeepFaceLab,132,15697,948,18,19,15,130,15664,120.4923077
DeepLearning,https://github.com/Mikoto10032/DeepLearning,Python for《Deep Learning》，该书为《深度学习�?花书) 数学推导、原理剖析与源码级别代码实现DeepLearning,10,2697,17,0,2,0,10,2697,269.7
DeepLearning.ai-Summary,https://github.com/mbadry1/DeepLearning.ai-Summary,This repository contains my personal notes and summaries on DeepLearning.ai specialization courses. I've enjoyed every little bit of the course hope you enjoy my notes too.DeepLearning.ai-Summary,1,31,272,0,26,0,1,31,31
Deep-Learning-21-Examples,https://github.com/hzy46/Deep-Learning-21-Examples,�?1个项目玩转深度学习———基于TensorFlow的实践详解》配套代码Deep-Learning-21-Examples,1162,138016,14,0,2,0,443,54814,123.7336343
DeepLearningFlappyBird,https://github.com/yenchenlin/DeepLearningFlappyBird,Flappy Bird hack using Deep Reinforcement Learning (Deep Q-learning).DeepLearningFlappyBird,3,361,49,0,6,0,3,361,120.3333333
deep-learning-for-image-processing,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,deep-learning-for-image-processing,281,25819,535,0,3,0,271,25458,93.94095941
deep-learning-models,https://github.com/fchollet/deep-learning-models,deep-learning-models,10,1628,17,0,5,0,10,1628,162.8
Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,Deep-Learning-Papers-Reading-Roadmap,1,114,80,1,28,1,1,114,114
deep-learning-roadmap,https://github.com/instillai/deep-learning-roadmap,:satellite: All You Need to Know About Deep Learning - A kick-starterdeep-learning-roadmap,2,110,29,0,4,0,2,110,55
DeepLearningTutorials,https://github.com/lisa-lab/DeepLearningTutorials,Deep Learning Tutorial notes and code. See the wiki for more info.DeepLearningTutorials,36,5434,730,0,54,0,28,5000,178.5714286
DeepNude-an-Image-to-Image-technology,https://github.com/yuanxiaosc/DeepNude-an-Image-to-Image-technology,"DeepNude's algorithm and general image generation theory and practice research, including pix2pix, CycleGAN, UGATIT, DCGAN, SinGAN, ALAE, mGANprior, StarGAN-v2 and VAE models (TensorFlow2 implementation). DeepNude的算法以及通用生成对抗网络（GAN,Generative Adversarial Network）图像生成的理论与实践研究。DeepNude-an-Image-to-Image-technology",23,1550,42,0,2,0,22,1540,70
deepo,https://github.com/ACodeRun/deepo,deepo,30,1421,114,21,10,10,25,783,31.32
DeepPavlov,https://github.com/deepmipt/DeepPavlov,DeepPavlov,559,58105,1145,391,79,60,314,29722,94.65605096
DeepSpeed,https://github.com/microsoft/DeepSpeed,"DeepSpeed is a deep learning optimization library that makes distributed training easy, efficient, and effective.DeepSpeed",316,51768,612,524,72,69,206,37651,182.7718447
deep-visualization-toolbox,https://github.com/yosinski/deep-visualization-toolbox,DeepVis Toolboxdeep-visualization-toolbox,31,3392,96,5,7,1,28,3290,117.5
deep-voice-conversion,https://github.com/andabi/deep-voice-conversion,Deep neural networks for voice conversion (voice style transfer) in Tensorflowdeep-voice-conversion,20,1230,94,0,6,0,12,1042,86.83333333
Deformable-ConvNets,https://github.com/msracver/Deformable-ConvNets,Deformable Convolutional NetworksDeformable-ConvNets,176,31269,86,12,12,5,126,20107,159.5793651
deis,https://github.com/deis/deis,"Deis v1, the CoreOS and Docker PaaS: Your PaaS. Your Rules. deis",1184,176872,2216,165,147,28,90,11667,129.6333333
dejavu,https://github.com/worldveil/dejavu,Audio fingerprinting and recognition in Pythondejavu,21,1317,66,5,15,3,18,1285,71.38888889
deluge,https://github.com/deluge-torrent/deluge,"Deluge BitTorrent client - Git mirror, PRs onlydeluge",401,110132,3321,357,58,30,262,42970,164.0076336
deoplete.nvim,https://github.com/Shougo/deoplete.nvim,:stars: Dark powered asynchronous completion framework for neovim/Vim8deoplete.nvim,57,4128,1610,325,95,6,44,2643,60.06818182
Depix,https://github.com/beurtschipper/Depix,Recovers passwords from pixelized screenshotsDepix,5,337,24,1,8,1,5,337,67.4
Detectron,https://github.com/facebookresearch/Detectron,"FAIR's research platform for object detection research, implementing popular algorithms like Mask R-CNN and RetinaNet.Detectron",188,16536,114,17,37,15,84,11753,139.9166667
detectron2,https://github.com/facebookresearch/detectron2,detectron2,652,51569,1229,112,189,56,427,41488,97.16159251
detr,https://github.com/facebookresearch/detr,End-to-End Object Detection with Transformersdetr,31,3155,40,35,24,22,28,3038,108.5
devicon,https://github.com/devicons/devicon,"Set of icons representing programming languages, designing & development toolsdevicon",40,12504,458,145,58,29,13,843,64.84615385
devops-exercises,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questionsdevops-exercises",24,977,400,50,67,34,13,321,24.69230769
dev-setup,https://github.com/donnemartin/dev-setup,"macOS development environment setup:  Easy-to-understand instructions with automated setup scripts for developer tools like Vim, Sublime Text, Bash, iTerm, Python data analysis, Spark, Hadoop MapReduce, AWS, Heroku, JavaScript web development, Android development, common data stores, and dev-based OS X defaults.dev-setup",21,1343,290,18,13,8,5,13,2.6
diagrams,https://github.com/mingrammer/diagrams,:art: Diagram as Code for prototyping cloud system architecturesdiagrams,222,15590,363,144,96,79,209,5510,26.36363636
dirsearch,https://github.com/maurosoria/dirsearch,Web path scannerdirsearch,244,141883,840,16,64,8,239,141629,592.5899582
DisableWinTracking,https://github.com/10se1ucgo/DisableWinTracking,Uses some known methods that attempt to minimize tracking in Windows 10DisableWinTracking,3,718,85,6,24,4,3,718,239.3333333
discord.py,https://github.com/Rapptz/discord.py,An API wrapper for Discord written in Python.discord.py,143,26814,3452,202,321,23,126,24528,194.6666667
discover-flask,https://github.com/realpython/discover-flask,discover-flask,28,581,107,0,3,0,20,431,21.55
django,https://github.com/django/django,django,2600,301936,19724,12717,1827,1373,1942,225157,115.9407827
django-allauth,https://github.com/pennersr/django-allauth,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication.django-allauth",542,18834,1784,398,537,122,502,17203,34.2689243
DjangoBlog,https://github.com/liangliangyy/DjangoBlog,DjangoBlog,137,10634,376,33,20,4,78,5415,69.42307692
django-cms,https://github.com/django-cms/django-cms,The easy-to-use and developer-friendly enterprise CMS powered by Django django-cms,730,96204,7807,894,450,175,304,44064,144.9473684
django-crispy-forms,https://github.com/django-crispy-forms/django-crispy-forms,The best way to have DRY Django forms. The app provides a tag and filter that lets you quickly render forms in a div format while providing an enormous amount of capability to configure and control the rendered HTML.django-crispy-forms,166,6269,970,259,182,72,26,3987,153.3461538
django-extensions,https://github.com/django-extensions/django-extensions,This is a repository for collecting global custom management extensions for the Django Framework. django-extensions,226,16251,2312,251,497,88,202,14859,73.55940594
django-haystack,https://github.com/django-haystack/django-haystack,Modular search for Djangodjango-haystack,149,26306,1296,135,199,40,128,23614,184.484375
django-oscar,https://github.com/django-oscar/django-oscar,Domain-driven e-commerce for Djangodjango-oscar,935,63190,2599,316,240,94,647,40741,62.9690881
django-rest-framework,https://github.com/encode/django-rest-framework,Web APIs for Django. 🎸django-rest-framework,233,36426,4275,1099,871,323,136,24473,179.9485294
django-tastypie,https://github.com/django-tastypie/django-tastypie,django-tastypie,163,15566,1058,140,200,55,151,14915,98.77483444
dnsmasq-china-list,https://github.com/felixonmars/dnsmasq-china-list,Chinese-specific configuration to improve your favorite DNS server. Best partner for chnroutes.dnsmasq-china-list,6,464,130396,80,68,15,3,348,116
doccano,https://github.com/doccano/doccano,Open source annotation tool for machine learning practitioners.doccano,441,16272,799,43,61,13,121,6691,55.29752066
docker-py,https://github.com/docker/docker-py,A Python library for the Docker Engine APIdocker-py,139,20082,1817,99,352,53,130,19901,153.0846154
docker-stacks,https://github.com/jupyter/docker-stacks,Ready-to-run Docker images containing Jupyter applicationsdocker-stacks,70,2733,1310,83,205,29,34,1327,39.02941176
docopt,https://github.com/docopt/docopt,"Pythonic command line arguments parser, that will make you smiledocopt",23,1066,315,17,26,3,23,1066,46.34782609
docutils,https://github.com/docutils-mirror/docutils,docutils,337,52487,3806,23,32,7,265,34871,131.5886792
dotbot,https://github.com/anishathalye/dotbot,A tool that bootstraps your dotfiles ⚡️dotbot,87,2615,182,5,28,2,23,859,37.34782609
Douyin-Bot,https://github.com/wangshub/Douyin-Bot,😍 Python 抖音机器人，论如何在抖音上找到漂亮小姐姐�?Douyin-Bot,17,579,25,0,8,0,13,478,36.76923077
dowhy,https://github.com/microsoft/dowhy,"DoWhy is a Python library for causal inference that supports explicit modeling and testing of causal assumptions. DoWhy is based on a unified language for causal inference, combining causal graphical models and potential outcomes frameworks. dowhy",104,8085,360,88,43,15,96,7926,82.5625
DrQA,https://github.com/facebookresearch/DrQA,DrQA,40,3392,40,2,12,1,40,3392,84.8
Dshell,https://github.com/USArmyResearchLab/Dshell,Dshell,63,6029,58,0,11,0,62,6026,97.19354839
dumb-init,https://github.com/Yelp/dumb-init,A minimal init system for Linux containersdumb-init,11,688,186,2,21,1,11,688,62.54545455
dvc,https://github.com/iterative/dvc,🦉Data Version Control | Git for Data & Models | ML Experiments Managementdvc,481,59006,3910,1838,216,177,454,57609,126.8920705
dymos,https://github.com/OpenMDAO/dymos,Open Source Optimization of Dynamic Multidisciplinary Systemsdymos,220,24042,109,66,8,7,216,23863,110.4768519
EagleEye,https://github.com/ThoughtfulDev/EagleEye,"Stalk your Friends. Find their Instagram, FB and Twitter Profiles using Image Recognition and Reverse Image Search.EagleEye",9,621,70,19,7,2,9,621,69
EasyOCR,https://github.com/JaidedAI/EasyOCR,"Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc.EasyOCR",26,3643,288,5,94,5,24,3557,148.2083333
easytrader,https://github.com/shidenggui/easytrader,"提供同花顺客户端/国金/华泰客户�?雪球的基金、股票自动程序化交易以及自动打新，支持跟�?joinquant /ricequant 模拟交易 �?实盘雪球组合, 量化交易组件easytrader",43,3274,480,69,47,37,35,3182,90.91428571
edgedb,https://github.com/edgedb/edgedb,The next generation relational database.edgedb,459,190091,2856,937,33,27,399,173867,435.7568922
eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,https://github.com/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee/eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,87,744,193,3,130,3,6,76,12.66666667
Eel,https://github.com/ChrisKnott/Eel,Eel,51,16006,171,21,35,10,21,767,36.52380952
eht-imaging,https://github.com/achael/eht-imaging,"Imaging, analysis, and simulation software for radio interferometryeht-imaging",77,27626,1371,0,28,0,75,27593,367.9066667
einops,https://github.com/arogozhnikov/einops,"Deep learning operations reinvented (for pytorch, tensorflow, jax and others)einops",33,3837,260,8,12,1,24,2573,107.2083333
elastalert,https://github.com/Yelp/elastalert,Easy & Flexible Alerting With ElasticSearchelastalert,56,13168,1381,24,248,19,29,12278,423.3793103
elasticsearch-dsl-py,https://github.com/elastic/elasticsearch-dsl-py,High level Python client for Elasticsearchelasticsearch-dsl-py,71,9428,837,238,118,45,68,9189,135.1323529
elasticsearch-py,https://github.com/elastic/elasticsearch-py,Official Elasticsearch client library for Pythonelasticsearch-py,144,18565,555,83,76,30,122,17676,144.8852459
electrum,https://github.com/spesmilo/electrum,Electrum Bitcoin Walletelectrum,340,85103,5171,697,182,75,291,75757,260.3333333
emissary,https://github.com/emissary-ingress/emissary,open source Kubernetes-native API gateway for microservices built on the Envoy Proxyemissary,5897,1484007,3613,150,81,20,223,31297,140.3452915
english-words,https://github.com/dwyl/english-words,:memo: A text file containing 479k English words for all your dictionary/word-based projects e.g: auto-completion / autosuggestionenglish-words,2,16,42,5,23,4,2,16,8
ERNIE,https://github.com/PaddlePaddle/ERNIE,"Official implementations for various pre-training models of ERNIE-family, covering topics of Language Understanding & Generation, Multimodal Understanding & Generation, and beyond.ERNIE",86,17835,99,25,27,8,61,10649,174.5737705
espnet,https://github.com/espnet/espnet,espnet,2570,181002,7867,86,202,28,798,95177,119.2694236
esptool,https://github.com/espressif/esptool,esptool,81,21781,644,62,75,11,51,12495,245
ESRGAN,https://github.com/xinntao/ESRGAN,ECCV18 Workshops - Enhanced SRGAN. Champion PIRM Challenge on Perceptual Super-Resolution. The training codes are in BasicSR.ESRGAN,4,146,44,1,3,1,4,146,36.5
EssayKiller_V2,https://github.com/EssayKillerBrain/EssayKiller_V2,基于开源GPT2.0的初代创作型人工智能 | 可扩展、可进化EssayKiller_V2,140,30188,42,0,1,0,85,12119,142.5764706
EverydayWechat,https://github.com/sfyc23/EverydayWechat,微信助手�?.每日定时给好友（女友）发送定制消息�?.机器人自动回复好友�?.群助手功能（例如：查询垃圾分类、天气、日历、电影实时票房、快递物流、PM2.5等）EverydayWechat,56,4806,141,0,14,0,54,2217,41.05555556
examples,https://github.com/pytorch/examples,"A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.examples",74,5913,377,167,175,123,54,4482,83
explainshell,https://github.com/idank/explainshell,match command-line arguments to their help textexplainshell,58,30243,215,26,15,6,26,3142,120.8461538
EZFN-Lobbybot,https://github.com/EZFNDEV/EZFN-Lobbybot,With EasyFNBot you can easily create you own Fortnite Lobby Bot in less than 5 minutes which will be online forever!EZFN-Lobbybot,1,6,30,0,2,0,1,6,6
fabric,https://github.com/fabric/fabric,"Simple, Pythonic remote execution and deployment.fabric",51,4302,1172,65,16,4,45,4241,94.24444444
face_classification,https://github.com/oarriaga/face_classification,face_classification,18,34726,85,0,5,0,17,1455,85.58823529
face_recognition,https://github.com/ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command lineface_recognition,35,1908,184,11,43,6,30,1451,48.36666667
faceai,https://github.com/vipstone/faceai,一款入门级的人脸、视频、文字检测以及识别的项目.faceai,26,806,116,0,8,0,25,715,28.6
face-alignment,https://github.com/1adrianb/face-alignment,:fire: 2D and 3D Face alignment library build using pytorch face-alignment,26,1436,154,20,22,2,24,1366,56.91666667
facenet,https://github.com/davidsandberg/facenet,facenet,71,7535,223,0,31,0,66,6715,101.7424242
faceswap,https://github.com/deepfakes/faceswap,faceswap,202,35780,916,189,76,62,186,34737,186.7580645
fail2ban,https://github.com/fail2ban/fail2ban,Daemon to ban hosts that cause multiple authentication errorsfail2ban,102,21171,2958,177,190,34,84,19789,235.5833333
fairseq,https://github.com/pytorch/fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.fairseq,972,114277,1823,943,314,245,748,103730,138.6764706
faker,https://github.com/joke2k/faker,Faker is a Python package that generates fake data for you.faker,559,98089,1626,411,397,199,547,97465,178.1809872
falcon,https://github.com/falconry/falcon,"The no-nonsense REST API and microservices framework for Python developers, with a focus on reliability, correctness, and performance at scale.falcon",245,29202,1258,721,162,133,211,27348,129.6113744
fantasque-sans,https://github.com/belluzj/fantasque-sans,A font family with a great monospaced variant for programmers.fantasque-sans,12,500,82,11,12,3,3,264,88
fashion-mnist,https://github.com/zalandoresearch/fashion-mnist,A MNIST-like fashion product database. Benchmark :point_down: fashion-mnist,8,477,144,25,13,2,8,477,59.625
