project,Url,Description,Files,Loc,Commit,IssueCommit,Committer,IssueCommiter,PyFiles,PyLoc,AvgLoCPerFile
stock,https://github.com/pythonstock/stock,stock锛岃偂绁ㄧ郴缁熴€備娇鐢╬ython杩涜寮€鍙戙€俿tock,117,5620,243,0,8,0,29,2331,80.37931034
storm,https://github.com/nathanmarz/storm,Manage your SSH like a boss.storm,23,2494,231,12,25,5,12,1204,100.3333333
Stream-Framework,https://github.com/tschellenbach/Stream-Framework,"Stream Framework is a Python library, which allows you to build news feed, activity streams and notification systems using Cassandra and/or Redis. The authors of Stream-Framework also provide a cloud service for feed technology:Stream-Framework",89,6543,371,2,23,2,85,6130,72.11764706
streamlink,https://github.com/streamlink/streamlink,Streamlink is a CLI utility which pipes video streams from various services into a video playerstreamlink,476,34043,1788,434,191,113,453,32629,72.02869757
streamlit,https://github.com/streamlit/streamlit,Streamlit �?The fastest way to build data apps in Pythonstreamlit,902,431906,2113,1224,89,81,377,29388,77.95225464
SublimeCodeIntel,https://github.com/SublimeCodeIntel/SublimeCodeIntel,馃挕 Full-featured code intelligence and smart autocomplete for Sublime TextSublimeCodeIntel,6,2591,249,3,19,3,6,2591,431.8333333
superset,https://github.com/apache/superset,Apache Superset is a Data Visualization and Data Exploration Platformsuperset,1506,337086,5205,4960,503,488,746,100270,134.4101877
supervisor,https://github.com/Supervisor/supervisor,Supervisor process control system for UNIXsupervisor,79,29657,1225,185,146,22,69,28500,413.0434783
Surprise,https://github.com/NicolasHug/Surprise,A Python scikit for building and analyzing recommender systemsSurprise,70,4313,368,30,36,22,62,3253,52.46774194
sympy,https://github.com/sympy/sympy,A computer algebra system written in pure Pythonsympy,1475,439072,24354,1205,832,257,1233,356546,289.1695053
synapse,https://github.com/matrix-org/synapse,Synapse: Matrix homeserver written in Python 3/Twisted.synapse,1098,164260,11013,2939,332,236,740,145651,196.8256757
sync-engine,https://github.com/nylas/sync-engine,:incoming_envelope: IMAP/SMTP sync system with modern APIssync-engine,608,48155,2807,59,64,17,587,47029,80.11754685
Synonyms,https://github.com/chatopera/Synonyms,Synonyms,36,917183,114,16,14,2,25,193413,7736.52
system-design-primer,https://github.com/donnemartin/system-design-primer,system-design-primer,16,697,289,170,109,105,14,655,46.78571429
tablib,https://github.com/jazzband/tablib,tablib,37,3376,332,67,60,18,30,3107,103.5666667
taiga-back,https://github.com/taigaio/taiga-back,Agile project management platform. Built on top of Django and AngularJStaiga-back,822,75980,2847,235,71,16,810,74471,91.93950617
Tautulli,https://github.com/Tautulli/Tautulli,A Python based monitoring and tracking tool for Plex Media Server.Tautulli,1188,250761,3903,90,71,5,984,190925,194.0294715
Telethon,https://github.com/LonamiWebs/Telethon,"Pure Python 3 MTProto API Telegram client library, for bots too!Telethon",147,16154,1803,378,108,102,135,15155,112.2592593
tenacity,https://github.com/tenacityteam/tenacity,Retrying library for Pythontenacity,36,2327,237,64,57,24,17,2098,123.4117647
tensor2tensor,https://github.com/tensorflow/tensor2tensor,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.tensor2tensor,489,90270,3160,508,231,119,450,86928,193.1733333
tensorboardX,https://github.com/lanpa/tensorboardX,"tensorboard for pytorch (and chainer, mxnet, numpy, ...)tensorboardX",120,13795,358,189,65,43,96,10347,107.78125
TensorFlowOnSpark,https://github.com/yahoo/TensorFlowOnSpark,TensorFlowOnSpark brings TensorFlow programs to Apache Spark clusters.TensorFlowOnSpark,61,6294,265,8,18,2,43,5236,121.7674419
tensorflow-wavenet,https://github.com/ibab/tensorflow-wavenet,tensorflow-wavenet,10,1821,147,72,30,22,10,1821,182.1
tensorflow-yolov3,https://github.com/YunYang1994/tensorflow-yolov3,"馃敟 TensorFlow Code for technical report: ""YOLOv3: An Incremental Improvement""tensorflow-yolov3",29,2139,294,0,8,0,28,2129,76.03571429
tensorlayer,https://github.com/tensorlayer/tensorlayer,Deep Learning and Reinforcement Learning Library for Scientists and Engineers 馃敟tensorlayer,272,32157,2179,275,98,38,253,30944,122.3083004
tensorpack,https://github.com/tensorpack/tensorpack,"A Neural Net Training Interface on TensorFlow, with focus on speed + flexibilitytensorpack",255,25118,2585,505,55,53,238,24826,104.3109244
tensortrade,https://github.com/tensortrade-org/tensortrade,"An open source reinforcement learning framework for training, evaluating, and deploying robust trading agents.tensortrade",162,8967,318,6,37,5,153,8800,57.51633987
termtosvg,https://github.com/nbedos/termtosvg,Record terminal sessions as SVG animationstermtosvg,24,6808,142,27,15,12,13,1872,144
text_classification,https://github.com/brightmart/text_classification,all kinds of text classification models and more with deep learningtext_classification,90,12386,241,0,14,0,89,12372,139.011236
textgenrnn,https://github.com/minimaxir/textgenrnn,Easily train your own text-generating neural network of any size and complexity on any text dataset with a few lines of code.textgenrnn,8,826,130,15,19,2,7,825,117.8571429
text-to-text-transfer-transformer,https://github.com/google-research/text-to-text-transfer-transformer,text-to-text-transfer-transformer,38,7193,419,37,38,4,36,7221,200.5833333
textual,https://github.com/willmcgugan/textual,Textual is a TUI (Text User Interface) framework for Python inspired by modern web development.textual,82,6935,259,1,16,1,74,6635,89.66216216
tflearn,https://github.com/tflearn/tflearn,Deep learning library featuring a higher-level API for TensorFlow.tflearn,113,10580,503,186,136,99,110,10468,95.16363636
Theano,https://github.com/Theano/Theano,"Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently. It is being continued as aesara: www.github.com/pymc-devs/aesaraTheano",467,154291,17672,188,349,64,205,74265,362.2682927
thefuck,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.thefuck,405,11970,1144,456,178,91,349,10208,29.24928367
the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,A list of all named GANs!the-gan-zoo,1,57,120,7,22,2,1,57,57
theHarvester,https://github.com/laramies/theHarvester,theHarvester,73,13541,1090,16,72,9,64,4293,67.078125
thumbor,https://github.com/thumbor/thumbor,thumbor is an open-source photo thumbnail service by globo.comthumbor,222,312371,1582,148,142,43,182,14906,81.9010989
tianshou,https://github.com/thu-ml/tianshou,An elegant PyTorch deep reinforcement learning library.tianshou,153,17282,268,188,30,29,132,16889,127.9469697
tinydb,https://github.com/msiemens/tinydb,TinyDB is a lightweight document oriented database optimized for your happiness :)tinydb,31,2539,480,118,64,42,20,2020,101
tinygrad,https://github.com/geohot/tinygrad,You like pytorch? You like micrograd? You love tinygrad! 鉂わ�?tinygrad,72,9781,389,103,41,33,47,4248,90.38297872
toml,https://github.com/toml-lang/toml,"Tom's Obvious, Minimal Languagetoml",1,175,467,62,170,18,1,175,175
toolz,https://github.com/pytoolz/toolz,A functional standard library for Python.toolz,57,5785,650,46,66,16,51,5436,106.5882353
torchdiffeq,https://github.com/rtqichen/torchdiffeq,Differentiable ODE solvers with full GPU support and O(1)-memory backpropagation.torchdiffeq,32,3205,166,7,21,4,32,3205,100.15625
tornado,https://github.com/tornadoweb/tornado,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.tornado",145,28122,3133,496,411,52,109,26413,242.3211009
tpot,https://github.com/EpistasisLab/tpot,tpot,81,13421,1440,96,83,8,51,7154,140.2745098
tqdm,https://github.com/tqdm/tqdm,tqdm,78,6382,1234,225,97,34,65,5675,87.30769231
transitions,https://github.com/pytransitions/transitions,"A lightweight, object-oriented finite state machine implementation in Python with many extensionstransitions",35,7318,726,171,69,13,32,7257,226.78125
tribler,https://github.com/Tribler/tribler,Privacy enhanced BitTorrent client with P2P content discoverytribler,431,46461,1047,42,36,14,406,38482,94.78325123
troposphere,https://github.com/cloudtools/troposphere,troposphere - Python library to create AWS CloudFormation descriptionstroposphere,313,39035,2202,796,460,337,312,39613,126.9647436
truffleHog,https://github.com/trufflesecurity/truffleHog,"Searches through git repositories for high entropy strings and secrets, digging deep into commit historytruffleHog",5,521,105,9,25,9,5,521,104.2
trump2cash,https://github.com/maxbbraun/trump2cash,A stock trading bot powered by Trump tweetstrump2cash,10,2164,191,9,1,1,10,2164,216.4
TrumpScript,https://github.com/samshadwell/TrumpScript,TrumpScript,12,2997,148,4,38,2,10,2992,299.2
tushare,https://github.com/waditu/tushare,tushare,58,7881,321,6,36,5,57,7859,137.877193
tvm,https://github.com/apache/tvm,"Open deep learning compiler stack for cpu, gpu and specialized acceleratorstvm",3064,461291,5227,5130,534,528,1538,250494,162.869961
twint,https://github.com/twintproject/twint,"An advanced Twitter scraping & OSINT tool written in Python that doesn't use Twitter's API, allowing you to scrape a user's followers, following, Tweets and more while evading most API limitations.twint",23,2798,567,159,66,55,23,2798,121.6521739
twisted,https://github.com/twisted/twisted,Event-driven networking engine written in Python.twisted,1168,212174,3416,185,128,41,1121,188105,167.8010705
U-2-Net,https://github.com/xuebinqin/U-2-Net,"The code for our newly accepted paper in Pattern Recognition 2020: ""U^2-Net: Going Deeper with Nested U-Structure for Salient Object Detection.""U-2-Net",13,34489,175,0,15,0,12,1218,101.5
uds,https://github.com/stewartmcgown/uds,Unlimited Drive Storage by splitting binary files into base64uds,6,589,107,2,22,1,6,589,98.16666667
Ultra-Light-Fast-Generic-Face-Detector-1MB,https://github.com/Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,Ultra-Light-Fast-Generic-Face-Detector-1MB,89,9372,136,0,14,0,60,6144,102.4
umap,https://github.com/lmcinnes/umap,umap,56,109718,1137,104,94,17,40,9417,235.425
ungoogled-chromium,https://github.com/Eloston/ungoogled-chromium,"Google Chromium, sans integration with Googleungoogled-chromium",38,3115,591,65,45,7,28,3010,107.5
universe,https://github.com/openai/universe,"Universe: a software platform for measuring and training an AI's general intelligence across the world's supply of games, websites and other applications.universe",118,12747,179,14,23,5,113,11577,102.4513274
urh,https://github.com/jopohl/urh,Universal Radio Hacker: Investigate Wireless Protocols Like A Bossurh,402,126151,2155,279,23,12,359,121664,338.8969359
urllib3,https://github.com/urllib3/urllib3,"Python HTTP library with thread-safe connection pooling, file post support, user friendly, and more.urllib3",82,17089,1813,450,218,94,69,16629,241
video2x,https://github.com/k4yt3x/video2x,video2x,25,4086,384,11,14,4,17,3637,213.9411765
virtualenv,https://github.com/pypa/virtualenv,virtualenv,149,10211,313,224,57,57,134,9663,72.1119403
visidata,https://github.com/saulpw/visidata,A terminal spreadsheet multitool for discovering and arranging datavisidata,253,70788,3485,432,49,15,137,14309,104.4452555
vision,https://github.com/pytorch/vision,"Datasets, Transforms and Models specific to Computer Visionvision",426,53716,1847,1737,422,405,221,36312,164.3076923
vit-pytorch,https://github.com/lucidrains/vit-pytorch,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorchvit-pytorch",20,2438,148,2,12,1,20,2438,121.9
volatility,https://github.com/volatilityfoundation/volatility,An advanced memory forensics frameworkvolatility,429,614471,2529,186,63,9,421,611596,1452.72209
voltron,https://github.com/snare/voltron,A hacky debugger UI for hackersvoltron,62,6490,469,3,31,3,52,5922,113.8846154
vprof,https://github.com/nvdv/vprof,Visual profiler for Pythonvprof,44,3259,360,56,18,5,23,1850,80.43478261
vyper,https://github.com/vyperlang/vyper,Pythonic Smart Contract Language for the EVMvyper,352,27234,2173,78,151,26,337,26007,77.17210682
wafw00f,https://github.com/EnableSecurity/wafw00f,wafw00f,169,3480,694,18,34,11,164,3268,19.92682927
wagtail,https://github.com/wagtail/wagtail,wagtail,1654,172446,6282,1696,502,268,934,97012,103.8672377
wal-e,https://github.com/wal-e/wal-e,Continuous Archiving for Postgreswal-e,112,7125,578,10,76,7,110,7081,64.37272727
walle-web,https://github.com/meolu/walle-web,walle - 鐡﹀�?Devops寮€婧愰」鐩唬鐮侀儴缃插钩鍙皐alle-web,143,6187,510,25,32,8,92,5753,62.5326087
WeasyPrint,https://github.com/Kozea/WeasyPrint,The awesome document factoryWeasyPrint,125,40649,1714,239,53,12,110,39490,359
webpy,https://github.com/webpy/webpy,web.py is a web framework for python that is as simple as it is powerful. webpy,29,6287,660,174,80,23,29,6287,216.7931034
websockets,https://github.com/aaugustin/websockets,Library for building WebSocket servers and clients in Pythonwebsockets,123,13977,543,135,33,10,92,13192,143.3913043
wechat_jump_game,https://github.com/wangshub/wechat_jump_game,寰俊銆婅烦涓€璺炽€婸ython 杈呭姪wechat_jump_game,44,2013,201,58,73,35,20,1769,88.45
WechatSogou,https://github.com/chyroc/WechatSogou,WechatSogou,35,11640,136,85,12,10,21,1622,77.23809524
weibospider,https://github.com/SpiderClub/weibospider,":zap: A distributed crawler for weibo, building with celery and requests.weibospider",84,3839,559,3,19,3,79,3741,47.35443038
werkzeug,https://github.com/pallets/werkzeug,The comprehensive WSGI web application library.werkzeug,183,24354,1459,132,267,66,141,23712,168.1702128
wfuzz,https://github.com/xmendez/wfuzz,Web application fuzzerwfuzz,137,13359,575,34,26,2,121,13148,108.661157
whoogle-search,https://github.com/benbusby/whoogle-search,"A self-hosted, ad-free, privacy-respecting metasearch enginewhoogle-search",56,3755,348,136,56,51,17,1309,77
wifiphisher,https://github.com/wifiphisher/wifiphisher,wifiphisher,61,16264,393,40,37,12,30,4648,154.9333333
wifite2,https://github.com/derv82/wifite2,wifite2,47,5530,157,38,14,2,46,5528,120.173913
word_cloud,https://github.com/amueller/word_cloud,A little word cloud generator in Pythonword_cloud,35,15930,342,25,60,13,24,2938,122.4166667
wtfpython,https://github.com/satwikkansal/wtfpython,What the f*ck Python? 馃槺wtfpython,8,460,333,16,69,13,8,460,57.5
wttr.in,https://github.com/chubin/wttr.in,:partly_sunny: The right way to check the weatherwttr.in,39,5963,787,145,141,8,25,4116,164.64
wxBot,https://github.com/liuwons/wxBot,Python缃戦〉寰俊APIwxBot,3,1353,120,2,23,2,3,1353,451
wxpy,https://github.com/youfou/wxpy,寰俊鏈哄櫒�?/ 鍙兘鏄渶浼橀泤鐨勫井淇′釜浜哄�?API 鉁ㄢ湪wxpy,49,2563,231,2,5,2,47,2526,53.74468085
xadmin,https://github.com/sshwsfc/xadmin,"Drop-in replacement of Django admin comes with lots of goodies, fully extensible with plugin support, pretty UI based on Twitter Bootstrap.xadmin",337,50756,648,25,51,6,81,9359,115.5432099
xmltodict,https://github.com/martinblech/xmltodict,xmltodict,5,1134,150,41,41,19,5,1134,226.8
xonsh,https://github.com/xonsh/xonsh,xonsh,322,74646,6194,364,243,93,238,50036,210.2352941
XSStrike,https://github.com/s0md3v/XSStrike,XSStrike,29,3687,287,35,16,3,26,1806,69.46153846
XX-Net,https://github.com/XX-net/XX-Net,A proxy tool to bypass GFW.XX-Net,1458,370957,894,58,59,13,948,287694,303.4746835
yapf,https://github.com/google/yapf,A formatter for Python filesyapf,56,9977,908,214,127,43,50,9858,197.16
yellowbrick,https://github.com/DistrictDataLabs/yellowbrick,Visual analysis and diagnostic tools to facilitate machine learning model selection.yellowbrick,197,21869,642,441,100,86,188,21365,113.643617
yfinance,https://github.com/ranaroussi/yfinance,Yahoo! Finance market data downloader (+faster Pandas Datareader)yfinance,10,997,234,8,39,2,10,1002,100.2
yolov5,https://github.com/ultralytics/yolov5,YOLOv5 馃殌 in PyTorch > ONNX > CoreML > TFLiteyolov5,74,6860,1198,814,140,126,27,5300,196.2962963
YOLOX,https://github.com/Megvii-BaseDetection/YOLOX,"YOLOX is a high-performance anchor-free YOLO, exceeding yolov3~v5 with MegEngine, ONNX, TensorRT, ncnn, and OpenVINO supported. Documentation: https://yolox.readthedocs.io/YOLOX",106,9902,128,91,43,36,78,6669,85.5
YouCompleteMe,https://github.com/ycm-core/YouCompleteMe,A code-completion engine for VimYouCompleteMe,96,14098,1491,143,142,20,51,9760,191.372549
you-get,https://github.com/soimort/you-get,:arrow_double_down: Dumb downloader that scrapes the webyou-get,130,11405,1672,288,222,28,126,11284,89.55555556
youtube-dl-gui,https://github.com/MrS0m30n3/youtube-dl-gui,youtube-dl-gui,26,4653,604,37,21,3,23,4579,199.0869565
yowsup,https://github.com/tgalal/yowsup,yowsup,341,14846,777,97,67,10,339,14809,43.68436578
YYeTsBot,https://github.com/tgbot-collection/YYeTsBot,馃幀 浜轰汉褰辫bot锛屽畬鍏ㄥ鎺ヤ汉浜哄奖瑙嗗叏閮ㄦ棤鍒犲噺璧勬簮YYeTsBot,87,33060,157,9,5,4,35,3519,100.5428571
Zappa,https://github.com/Miserlou/Zappa,Serverless PythonZappa,405,29712,1839,101,240,45,34,8397,246.9705882
zipline,https://github.com/quantopian/zipline,"Zipline, a Pythonic Algorithmic Trading Libraryzipline",335,74424,3395,96,114,33,278,69547,250.1690647
zulip,https://github.com/zulip/zulip,Zulip server and web app鈥攑owerful open source team chatzulip,8224,1284524,20346,2110,521,298,907,110293,121.6019846
